project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;ssmergeloc;ssmergerenamingconfs;ssmergedeletionconfs;ssmergeinnerdeletionconfs;ssmergetaeconfs;ssmergenereoconfs;ssmergeinitlblocksconfs;ssmergeacidentalconfs;unmergeconfs;unmergeloc;unmergetime;ssmergetime;unmergeduplicateddeclarationerrors;unmergeorderingconfs;equalconfs
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;3ba28a912a763ff973e3d5ab63ac35a64462c117;c0c6d0e;5bd4c041add32a8be8790ae715cbad8a713efd6c;4482591;0;0;0;0;0;0;0;0;0;1;2;11413700;75178600;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;7576fa3dd4c0860238f796e9fa85490db7d01ea2;e96943c;3ba28a912a763ff973e3d5ab63ac35a64462c117;f6f1b0d;0;0;0;0;0;0;0;0;0;0;0;11721400;80149000;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;d9c87e1cc9b192837942ec658910cb7465b526dd;b43d8b5;54b39ae864cffad86c855b5917f3c4d7a0249ae2;a9be6e0;0;0;0;0;0;0;0;0;0;1;4;11079000;132943800;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;9df3c53bed69f614303ffaf64753bae917743166;bfdd9de;d9c87e1cc9b192837942ec658910cb7465b526dd;04fd1ac;0;0;0;0;0;0;0;0;0;0;0;11455400;134198600;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;aa9f7cae808ec4ec58f183ee1e5d1b629679a5d9;4116c79;c8ee73cf4788db8067d65d2aa35d5fff588fdfba;394e171;0;0;0;0;0;0;0;0;0;0;0;12844100;138583100;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;1800432a1cd6ccfffd9bb7edaebf8f25e55902ec;ccb86e6;c7472e3fccd4f16c1c6cf87d2bb4494a1ba1500a;8b1eb81;2;4;0;0;0;0;0;0;0;2;4;22736600;265290900;0;0;2
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;7de52ed0e7092af61662d92e9794e5afdd90bfb3;af8e1d1;146f09316d737fb3455fd06246f5296416fbdc48;760454d;1;2;0;0;0;0;0;0;0;1;2;11757900;134302900;0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;357f849bae185cf6b09bfae176a0d1082afab58d;308e77c;7de52ed0e7092af61662d92e9794e5afdd90bfb3;ea93ab6;0;0;0;0;0;0;0;0;0;0;0;12788400;136405700;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;dc1e644ed6448bc46c6ef8c73d3a20bb5ef86996;357f849;7de52ed0e7092af61662d92e9794e5afdd90bfb3;50b1c07;0;0;0;0;0;0;0;0;0;0;0;13287400;140946400;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;483728bac47627aa728a9b46897fe1ab86d5eb11;8105a99;7de52ed0e7092af61662d92e9794e5afdd90bfb3;dc1e644;0;0;0;0;0;0;0;0;0;0;0;12807300;140092800;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;84838a87cc598a9a9f05f68476cdd67b31e2ecc2;64a7296;9c1a3f87bd7a6fa4944bd2a38c465a2f2ae99068;b051453;1;2;0;0;0;0;0;0;0;1;2;11353000;130194600;0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;03077daed514b3a49a426afcd4143e2c37476e41;bbd4c21;072c177c9523a837f3785d62dbceccb86491443a;583228c;0;0;0;0;0;0;0;0;0;1;2;12091800;139686500;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;6f9fadec02576f4cbc00ccef305b98821c0abbd5;96f0ab5;408281d129abeb7e02ef437db14067a4bf62be4a;59ddfff;2;4;0;0;0;0;0;0;0;2;4;12962400;133134700;0;0;2
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a08317dd89c4076c0b9486ca6180d541591c3538;793e85b;6f9fadec02576f4cbc00ccef305b98821c0abbd5;b5f54ba;1;2;0;0;0;0;0;0;0;0;0;11204500;133533100;1;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;0b1345325af23e3280108bf3d21189c367573dad;468e158;a08317dd89c4076c0b9486ca6180d541591c3538;81a8a35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;ced94bff0c76d36d3d0f875a41ce3570e107e63a;b4cc53e;2a5fde19ade32ce795f4f5a5037ae0ede90b39d2;38b56a4;1;2;0;0;0;0;0;0;1;1;2;11412600;134498000;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;6319d4bd07ded3b89f67098a3b69c11e5f74be22;6c216ab;ced94bff0c76d36d3d0f875a41ce3570e107e63a;516eb8e;1;4;0;0;0;0;0;0;0;1;4;11736100;138485800;1;1;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;596395952c8f4333ac06f93e5a75c1d383a19bb2;53ce8aa;6319d4bd07ded3b89f67098a3b69c11e5f74be22;97e96d1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;935c895593495ede2e0298f8e59a6cfad2a05502;c745304;34e2e401c54619da898567dbeabb3b41a7473006;f52298b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a305280ec266a528fdb0532a77a9245a13b626b4;5e81b80;935c895593495ede2e0298f8e59a6cfad2a05502;a2ac73f;0;0;0;0;0;0;0;0;0;0;0;11609700;140603200;2;2;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;c0a453c720d51d1c25de6deadcde9f92b81ce85b;7cbaa0a;a305280ec266a528fdb0532a77a9245a13b626b4;34b689f;1;10;0;1;0;0;0;0;0;1;9;11762200;142066000;2;2;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;e0c5c06ab5f4ce8faf13128e4dc2c66a4b9abbbe;404592b;c0a453c720d51d1c25de6deadcde9f92b81ce85b;f7f91e7;0;0;0;0;0;0;0;0;0;0;0;11602600;144235400;3;3;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;82ab7727076764d5c43cd492c70efc2f5b1e44bd;47a0af5;436285991e49d831b2b9f381a2c60d74622366e2;ef349ae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;d6a2526b5420125ba543282720d7036340e2c7e0;2fe0652;c77de9f2945b22ccd5ea296771e15f0cb2198fe3;80b2502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a8bc1ad6788a72f02ac30b500507cec74e719f53;85dbaef;c1ec01c1d8e1cbc94346ad662090a50183d9d7d8;f0bb5bb;0;0;0;0;0;0;0;0;0;0;0;12832400;138721300;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;ac5a3f6c0c728fc73b3d38ba3dc5b0e39a753265;411c5f9;0011521b5338dbbcdd3012eb25ac1a0139775a9e;8d48bb6;2;4;0;0;0;0;0;0;0;2;4;14000300;135572200;0;0;2
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;35322976b3226ecefd34e1949e8a3660a939e45d;356699d;ac5a3f6c0c728fc73b3d38ba3dc5b0e39a753265;c5b8546;0;0;0;0;0;0;0;0;0;0;0;13112200;139575900;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;ce4c3888735fd0c44d8093580317858f63a70804;fc65e9a;53a115d06bf1c1c5056b8f34d22d81a0c96512a6;ecec8d2;1;2;0;0;0;0;0;0;0;1;2;11626400;118059400;0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;abf46e036b85499c23998e95205c7ba6306809ed;9145cee;ce884a1749b78f5bd91733f4b5f2ba41161d4159;a25b54b;1;2;0;0;0;0;0;0;1;1;2;11335800;130754400;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a76ac61d13c2fe7f5445354585d3e10ec4f4a221;5f99926;abf46e036b85499c23998e95205c7ba6306809ed;ff5e3a6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;1bdcb344541e285950a7142c9fc9b2ba2246c05e;ea79bdf;cdfcef82dc8e3b132012edfcc61c904dc2ed545d;75dea6f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;c29f8c854fc02ab559f98b7f037e98ad96c7145b;e7ff497;1bdcb344541e285950a7142c9fc9b2ba2246c05e;5cdad7b;0;0;0;0;0;0;0;0;0;0;0;11344800;140373800;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;b867af2f7f9eae5a6a06e5e18541c608df88ec2f;d28eee2;c29f8c854fc02ab559f98b7f037e98ad96c7145b;279cb16;0;0;0;0;0;0;0;0;0;1;7;13767600;147724800;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;c8852bb25df5eb7ef93cd32a6e4522bc6085d3a4;6446fba;b867af2f7f9eae5a6a06e5e18541c608df88ec2f;016089f;0;0;0;0;0;0;0;0;0;1;6;14037300;146494900;0;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;85498c0d94cf5c1455e2efc4fd9593a2a99231d9;45e388c;67a7bfd9370840e18033dbc61d1785c16e3df0af;995d4d2;1;2;0;0;0;0;0;0;1;1;2;10646600;63236600;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;b866f08b56918c985fc91542b72fb44c4f3fcbc6;bd74442;85498c0d94cf5c1455e2efc4fd9593a2a99231d9;bb31dc1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;11a529184bcddaef540070b395d835cda100033d;628d8e3;b866f08b56918c985fc91542b72fb44c4f3fcbc6;0e749dd;0;0;0;0;0;0;0;0;0;0;0;11393900;144131100;0;0;0
